Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	126.428990  	1.685475    	18.14     	2163.973551
0.00020000     	19        	1520        	48640       	122.620638  	1.730753    	18.35     	1748.732760
0.00030000     	29        	2320        	74240       	120.938625  	1.740350    	19.63     	1851.186238
0.00040000     	39        	3120        	99840       	119.304845  	1.785310    	19.09     	1820.103149
0.00050000     	49        	3920        	125440      	118.401960  	1.792030    	19.77     	1667.455326
0.00060000     	59        	4720        	151040      	117.150467  	1.804653    	20.27     	1977.998771
0.00070000     	69        	5520        	176640      	116.073914  	1.902150    	18.65     	1336.258094
0.00080000     	79        	6320        	202240      	114.642420  	1.851753    	18.79     	1572.656433
0.00090000     	89        	7120        	227840      	113.494314  	1.925992    	17.29     	1677.102474
0.00100000     	99        	7920        	253440      	111.742714  	1.903803    	19.06     	1042.986219
0.00099973     	109       	8720        	279040      	110.567335  	1.961901    	20.02     	1524.939691
0.00099890     	119       	9520        	304640      	109.011121  	1.950779    	21.05     	1832.094414
0.00099753     	129       	10320       	330240      	107.027841  	1.981139    	19.13     	1655.440947
0.00099562     	139       	11120       	355840      	105.713949  	2.061383    	19.72     	693.474946
0.00099316     	149       	11920       	381440      	104.177720  	2.049086    	19.34     	691.416274
0.00099017     	159       	12720       	407040      	102.263225  	2.113896    	19.90     	716.325049
0.00098663     	169       	13520       	432640      	101.128278  	2.076097    	20.20     	721.792971
0.00098257     	179       	14320       	458240      	99.569348   	2.117621    	20.80     	787.439757
0.00097798     	189       	15120       	483840      	98.416753   	2.076830    	20.27     	1295.796413
0.00097286     	199       	15920       	509440      	97.519272   	2.190948    	19.51     	1469.654179
0.00096723     	209       	16720       	535040      	96.205433   	2.121013    	21.02     	883.362055
0.00096110     	219       	17520       	560640      	95.228516   	2.151320    	20.26     	788.503936
0.00095446     	229       	18320       	586240      	94.550046   	2.190227    	19.73     	736.950088
0.00094733     	239       	19120       	611840      	93.086346   	2.197356    	20.71     	698.489724
0.00093971     	249       	19920       	637440      	92.337368   	2.147739    	20.23     	1010.281420
0.00093162     	259       	20720       	663040      	91.584600   	2.162733    	20.76     	1811.914216
0.00092307     	269       	21520       	688640      	90.541502   	2.161372    	21.35     	798.743666
0.00091406     	279       	22320       	714240      	90.415478   	2.200764    	21.08     	724.248865
0.00090460     	289       	23120       	739840      	89.749996   	2.252972    	21.29     	723.796581
0.00089472     	299       	23920       	765440      	88.207832   	2.164346    	21.88     	735.487708
0.00088442     	309       	24720       	791040      	87.213592   	2.234569    	20.93     	714.972704
0.00087370     	319       	25520       	816640      	86.592057   	2.189780    	21.84     	1607.056972
0.00086260     	329       	26320       	842240      	86.334991   	2.220510    	21.47     	1161.086459
0.00085111     	339       	27120       	867840      	85.670202   	2.244070    	22.48     	708.472463
0.00083925     	349       	27920       	893440      	85.674790   	2.199470    	21.72     	716.767557
0.00082705     	359       	28720       	919040      	84.816154   	2.192364    	21.58     	1640.694930
