Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	125.824326  	1.707343    	19.54     	1591.532656
0.00020000     	19        	1520        	48640       	122.180089  	1.756371    	17.55     	1697.520284
0.00030000     	29        	2320        	74240       	120.627642  	1.852810    	17.95     	1813.288869
0.00040000     	39        	3120        	99840       	119.187045  	1.828814    	19.34     	1714.537645
0.00050000     	49        	3920        	125440      	117.321011  	1.741687    	19.86     	1706.695720
0.00060000     	59        	4720        	151040      	115.451849  	1.905980    	21.51     	1936.012183
0.00070000     	69        	5520        	176640      	112.699811  	1.817879    	21.70     	1997.542938
0.00080000     	79        	6320        	202240      	107.623815  	1.708980    	26.27     	1839.469640
0.00090000     	89        	7120        	227840      	100.507416  	1.649825    	30.91     	3202.372242
0.00100000     	99        	7920        	253440      	93.899360   	1.549845    	35.20     	1784.184308
0.00099973     	109       	8720        	279040      	86.957276   	1.541437    	37.10     	2908.419821
0.00099890     	119       	9520        	304640      	81.969398   	1.620711    	37.48     	1418.532734
0.00099753     	129       	10320       	330240      	76.972984   	1.541828    	38.21     	1737.098965
0.00099562     	139       	11120       	355840      	73.317826   	1.501386    	40.38     	1742.363223
0.00099316     	149       	11920       	381440      	70.279414   	1.455003    	40.22     	1681.529893
0.00099017     	159       	12720       	407040      	67.014529   	1.517071    	39.83     	3237.384956
0.00098663     	169       	13520       	432640      	64.616243   	1.469833    	41.69     	1629.346290
0.00098257     	179       	14320       	458240      	61.940813   	1.571471    	40.22     	1525.163020
0.00097798     	189       	15120       	483840      	59.763559   	1.510969    	41.78     	1947.125363
0.00097286     	199       	15920       	509440      	57.506346   	1.535623    	42.59     	1538.557661
0.00096723     	209       	16720       	535040      	55.682578   	1.529322    	41.27     	832.201948
0.00096110     	219       	17520       	560640      	54.019478   	1.567461    	40.84     	1930.268386
0.00095446     	229       	18320       	586240      	52.620748   	1.465529    	42.73     	702.789578
0.00094733     	239       	19120       	611840      	51.330316   	1.546354    	40.65     	1532.758519
0.00093971     	249       	19920       	637440      	49.675274   	1.510782    	43.02     	810.972268
0.00093162     	259       	20720       	663040      	48.876201   	1.555600    	41.72     	860.831522
0.00092307     	269       	21520       	688640      	47.317667   	1.547997    	41.58     	789.466099
0.00091406     	279       	22320       	714240      	46.480232   	1.579241    	40.99     	1306.758203
0.00090460     	289       	23120       	739840      	45.216841   	1.513471    	42.27     	828.238320
0.00089472     	299       	23920       	765440      	44.807018   	1.556389    	42.17     	1002.607362
0.00088442     	309       	24720       	791040      	43.967931   	1.593006    	42.01     	821.506881
0.00087370     	319       	25520       	816640      	42.941203   	1.517765    	42.34     	815.455638
0.00086260     	329       	26320       	842240      	41.867137   	1.538002    	42.47     	808.582999
0.00085111     	339       	27120       	867840      	41.260789   	1.571426    	42.78     	830.842875
0.00083925     	349       	27920       	893440      	40.434806   	1.649977    	40.94     	755.482283
0.00082705     	359       	28720       	919040      	39.804678   	1.593799    	41.98     	831.856443
0.00081450     	369       	29520       	944640      	39.209064   	1.559174    	41.59     	1257.620280
0.00080164     	379       	30320       	970240      	38.112812   	1.609982    	41.67     	840.466878
0.00078846     	389       	31120       	995840      	37.883700   	1.543290    	41.02     	837.732173
0.00077500     	399       	31920       	1021440     	37.609885   	1.637869    	40.99     	806.734596
0.00076126     	409       	32720       	1047040     	36.860460   	1.644428    	41.30     	1172.415524
0.00074727     	419       	33520       	1072640     	35.887886   	1.631606    	41.38     	818.067602
0.00073303     	429       	34320       	1098240     	35.016200   	1.669117    	40.27     	807.129196
0.00071857     	439       	35120       	1123840     	35.028110   	1.629154    	41.48     	871.827057
0.00070391     	449       	35920       	1149440     	34.551925   	1.677893    	41.27     	863.711185
0.00068906     	459       	36720       	1175040     	33.755884   	1.626073    	42.18     	832.278598
0.00067404     	469       	37520       	1200640     	33.464912   	1.572107    	42.56     	829.959686
0.00065886     	479       	38320       	1226240     	33.081600   	1.593685    	42.86     	833.337483
0.00064356     	489       	39120       	1251840     	32.445331   	1.599699    	42.38     	842.264209
0.00062814     	499       	39920       	1277440     	31.853429   	1.587189    	41.86     	813.684088
0.00061263     	509       	40720       	1303040     	31.512480   	1.647805    	42.47     	820.936324
0.00059704     	519       	41520       	1328640     	31.088435   	1.628602    	42.26     	851.059313
0.00058139     	529       	42320       	1354240     	30.319663   	1.598344    	43.20     	1232.470929
0.00056570     	539       	43120       	1379840     	29.820936   	1.666931    	41.89     	1298.456872
0.00055000     	549       	43920       	1405440     	29.297984   	1.610175    	43.75     	1693.462801
0.00053430     	559       	44720       	1431040     	29.110889   	1.705164    	41.31     	1312.491063
0.00051861     	569       	45520       	1456640     	28.179431   	1.681287    	42.16     	1250.435852
0.00050296     	579       	46320       	1482240     	28.361517   	1.643323    	42.52     	1309.235179
0.00048737     	589       	47120       	1507840     	27.858188   	1.720098    	40.84     	2487.173262
