Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	125.884404  	1.698990    	19.05     	802.207551
0.00020000     	19        	1520        	48640       	122.331264  	1.706172    	18.61     	763.243013
0.00030000     	29        	2320        	74240       	120.854059  	1.762742    	20.29     	773.796845
0.00040000     	39        	3120        	99840       	119.363688  	1.764784    	19.89     	1321.462108
0.00050000     	49        	3920        	125440      	117.601532  	1.787815    	18.66     	759.632140
0.00060000     	59        	4720        	151040      	115.687099  	1.935214    	21.37     	823.506287
0.00070000     	69        	5520        	176640      	113.749510  	1.930328    	21.02     	777.798781
0.00080000     	79        	6320        	202240      	111.440349  	1.899356    	19.90     	801.635912
0.00090000     	89        	7120        	227840      	109.595884  	1.777698    	21.91     	778.892250
0.00100000     	99        	7920        	253440      	107.516822  	1.870886    	24.09     	2385.592001
0.00099973     	109       	8720        	279040      	105.397224  	1.856295    	22.76     	804.032231
0.00099890     	119       	9520        	304640      	103.506703  	1.880415    	23.43     	1040.920253
0.00099753     	129       	10320       	330240      	101.204324  	1.919470    	23.20     	766.005820
0.00099562     	139       	11120       	355840      	98.776923   	1.866183    	23.16     	2223.611940
0.00099316     	149       	11920       	381440      	97.111361   	1.864657    	24.48     	748.577345
0.00099017     	159       	12720       	407040      	94.725615   	1.943645    	24.90     	1450.506712
0.00098663     	169       	13520       	432640      	93.155865   	1.901266    	26.98     	692.138136
0.00098257     	179       	14320       	458240      	91.274791   	1.867717    	26.42     	806.653323
0.00097798     	189       	15120       	483840      	88.975139   	1.806285    	28.42     	744.727081
0.00097286     	199       	15920       	509440      	87.041707   	1.762938    	28.72     	791.855505
0.00096723     	209       	16720       	535040      	86.327486   	1.797212    	29.52     	903.057123
0.00096110     	219       	17520       	560640      	85.356582   	1.938738    	27.86     	1428.453011
0.00095446     	229       	18320       	586240      	83.979008   	1.810114    	28.78     	807.495772
0.00094733     	239       	19120       	611840      	82.634690   	1.824693    	28.30     	774.559340
0.00093971     	249       	19920       	637440      	81.498299   	1.750308    	29.26     	775.292956
0.00093162     	259       	20720       	663040      	81.407720   	1.842456    	26.92     	822.441363
0.00092307     	269       	21520       	688640      	80.699886   	1.898905    	30.01     	780.581010
0.00091406     	279       	22320       	714240      	79.559384   	1.878861    	28.88     	789.252208
0.00090460     	289       	23120       	739840      	78.817267   	1.851593    	29.09     	829.130859
0.00089472     	299       	23920       	765440      	78.352284   	1.922826    	28.38     	798.850014
0.00088442     	309       	24720       	791040      	77.478420   	1.954216    	29.02     	786.369859
0.00087370     	319       	25520       	816640      	77.850852   	1.853490    	29.12     	905.154946
0.00086260     	329       	26320       	842240      	76.446022   	1.798372    	30.06     	797.852565
0.00085111     	339       	27120       	867840      	76.421031   	1.862369    	31.45     	817.107017
0.00083925     	349       	27920       	893440      	76.477428   	1.852845    	30.78     	824.295564
0.00082705     	359       	28720       	919040      	75.238917   	1.949281    	29.78     	821.658185
0.00081450     	369       	29520       	944640      	75.600897   	1.877761    	29.88     	791.469371
0.00080164     	379       	30320       	970240      	74.457553   	1.876435    	30.86     	811.283518
0.00078846     	389       	31120       	995840      	74.125307   	1.809453    	29.29     	828.949404
0.00077500     	399       	31920       	1021440     	74.093116   	1.898271    	30.80     	794.348622
0.00076126     	409       	32720       	1047040     	73.191142   	1.838607    	30.48     	810.058897
0.00074727     	419       	33520       	1072640     	72.841295   	1.811993    	31.15     	831.188768
0.00073303     	429       	34320       	1098240     	72.826913   	2.000686    	30.56     	795.147579
0.00071857     	439       	35120       	1123840     	71.739284   	1.941064    	29.55     	807.616022
0.00070391     	449       	35920       	1149440     	71.439049   	1.792547    	31.11     	833.959845
0.00068906     	459       	36720       	1175040     	70.407000   	1.839470    	29.49     	801.145845
0.00067404     	469       	37520       	1200640     	70.252047   	1.941795    	29.98     	800.028943
0.00065886     	479       	38320       	1226240     	70.107021   	1.890840    	29.27     	1866.290145
0.00064356     	489       	39120       	1251840     	69.392683   	1.914421    	29.56     	829.120052
0.00062814     	499       	39920       	1277440     	69.685106   	1.980360    	29.98     	795.782909
0.00061263     	509       	40720       	1303040     	68.403516   	1.977704    	30.49     	798.308751
0.00059704     	519       	41520       	1328640     	68.289774   	1.914558    	29.35     	826.914921
0.00058139     	529       	42320       	1354240     	66.749989   	1.977627    	30.01     	777.358854
0.00056570     	539       	43120       	1379840     	66.956286   	1.966836    	28.98     	787.689453
0.00055000     	549       	43920       	1405440     	66.438253   	1.936300    	31.01     	827.235920
0.00053430     	559       	44720       	1431040     	66.171576   	1.867375    	30.47     	785.109317
0.00051861     	569       	45520       	1456640     	64.865492   	1.931497    	30.05     	801.419130
0.00050296     	579       	46320       	1482240     	65.045909   	1.875427    	30.48     	845.703041
0.00048737     	589       	47120       	1507840     	64.314325   	1.926582    	28.80     	811.156270
0.00047186     	599       	47920       	1533440     	63.600285   	2.000602    	29.55     	807.927726
