Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	127.415762  	1.723781    	19.62     	832.102419
0.00020000     	19        	1520        	48640       	125.796438  	1.745642    	18.81     	903.603649
0.00030000     	29        	2320        	74240       	124.165800  	1.828141    	19.62     	922.796522
0.00040000     	39        	3120        	99840       	123.432814  	1.809484    	19.13     	905.477890
0.00050000     	49        	3920        	125440      	122.476506  	1.787824    	18.99     	920.833936
0.00060000     	59        	4720        	151040      	120.947200  	1.834963    	18.48     	810.616949
0.00070000     	69        	5520        	176640      	119.374386  	1.777629    	18.66     	919.485317
0.00080000     	79        	6320        	202240      	117.932379  	1.844091    	18.38     	903.291264
0.00090000     	89        	7120        	227840      	116.647245  	1.825134    	18.38     	935.043125
0.00100000     	99        	7920        	253440      	115.589723  	1.904268    	18.59     	919.859613
0.00099973     	109       	8720        	279040      	114.448782  	1.867613    	18.71     	989.619100
0.00099890     	119       	9520        	304640      	113.412045  	1.968167    	17.88     	1644.534787
0.00099753     	129       	10320       	330240      	112.356121  	1.944328    	17.72     	2319.082020
0.00099562     	139       	11120       	355840      	111.537073  	1.912047    	18.71     	983.303117
0.00099316     	149       	11920       	381440      	110.602880  	2.006630    	18.10     	2445.537862
0.00099017     	159       	12720       	407040      	109.909657  	2.025474    	20.72     	1605.054014
0.00098663     	169       	13520       	432640      	109.242331  	1.970444    	18.60     	590.589012
0.00098257     	179       	14320       	458240      	108.651396  	2.000012    	19.60     	1678.554701
0.00097798     	189       	15120       	483840      	107.767185  	2.038429    	19.12     	2186.861211
0.00097286     	199       	15920       	509440      	107.251231  	1.980188    	18.52     	876.444017
0.00096723     	209       	16720       	535040      	106.508817  	2.036620    	18.77     	906.774147
0.00096110     	219       	17520       	560640      	106.056845  	2.044062    	19.08     	906.745808
0.00095446     	229       	18320       	586240      	105.801483  	2.046283    	17.91     	929.540843
0.00094733     	239       	19120       	611840      	105.645264  	2.001432    	18.45     	902.649314
0.00093971     	249       	19920       	637440      	104.932062  	2.035289    	18.87     	916.844223
0.00093162     	259       	20720       	663040      	104.451102  	2.040267    	19.09     	1307.376001
0.00092307     	269       	21520       	688640      	104.050566  	2.041312    	19.14     	1914.729310
0.00091406     	279       	22320       	714240      	103.577238  	2.097018    	18.52     	938.138741
0.00090460     	289       	23120       	739840      	103.255824  	2.047807    	18.95     	906.604542
0.00089472     	299       	23920       	765440      	102.528866  	2.126842    	19.35     	1035.738083
0.00088442     	309       	24720       	791040      	102.281817  	2.198688    	18.86     	914.636971
0.00087370     	319       	25520       	816640      	102.017313  	2.089249    	18.41     	986.846343
0.00086260     	329       	26320       	842240      	101.333533  	2.221307    	18.53     	1716.363464
0.00085111     	339       	27120       	867840      	101.062693  	2.049001    	19.21     	463.821399
0.00083925     	349       	27920       	893440      	100.956518  	2.142766    	18.09     	465.891265
0.00082705     	359       	28720       	919040      	100.403474  	2.141848    	18.85     	1279.366357
0.00081450     	369       	29520       	944640      	100.411114  	2.161538    	19.09     	1222.363454
0.00080164     	379       	30320       	970240      	99.968954   	2.175142    	18.82     	469.396891
0.00078846     	389       	31120       	995840      	99.752433   	2.137367    	18.44     	1535.705609
0.00077500     	399       	31920       	1021440     	99.539778   	2.141700    	19.17     	443.135381
0.00076126     	409       	32720       	1047040     	98.799964   	2.216234    	19.07     	496.256013
0.00074727     	419       	33520       	1072640     	98.895399   	2.224039    	20.10     	459.918736
0.00073303     	429       	34320       	1098240     	98.260934   	2.219148    	19.80     	540.981124
0.00071857     	439       	35120       	1123840     	98.226051   	2.174387    	18.54     	1100.775042
0.00070391     	449       	35920       	1149440     	97.813342   	2.235486    	18.65     	433.506615
0.00068906     	459       	36720       	1175040     	97.459284   	2.200172    	19.66     	503.098195
0.00067404     	469       	37520       	1200640     	97.564617   	2.213905    	18.84     	450.887420
0.00065886     	479       	38320       	1226240     	97.062571   	2.291192    	18.08     	693.361402
0.00064356     	489       	39120       	1251840     	97.004650   	2.212191    	19.09     	444.105304
0.00062814     	499       	39920       	1277440     	96.605611   	2.231557    	17.96     	480.059097
0.00061263     	509       	40720       	1303040     	96.203473   	2.222224    	17.84     	539.419006
0.00059704     	519       	41520       	1328640     	96.104361   	2.260542    	18.67     	450.553828
0.00058139     	529       	42320       	1354240     	95.960328   	2.258830    	18.95     	512.874857
0.00056570     	539       	43120       	1379840     	95.864928   	2.221776    	18.68     	460.691634
0.00055000     	549       	43920       	1405440     	95.928851   	2.219367    	17.77     	480.506202
0.00053430     	559       	44720       	1431040     	95.051469   	2.254089    	19.92     	689.775546
0.00051861     	569       	45520       	1456640     	95.169545   	2.302812    	18.38     	480.727588
0.00050296     	579       	46320       	1482240     	94.959736   	2.201139    	19.18     	470.171227
0.00048737     	589       	47120       	1507840     	94.722313   	2.260494    	19.11     	1177.991628
0.00047186     	599       	47920       	1533440     	94.930548   	2.279173    	18.41     	492.843558
0.00045644     	609       	48720       	1559040     	94.378096   	2.281679    	18.62     	463.067797
0.00044114     	619       	49520       	1584640     	94.154417   	2.309738    	17.70     	502.856750
0.00042596     	629       	50320       	1610240     	93.830799   	2.284133    	18.50     	459.741560
0.00041094     	639       	51120       	1635840     	93.856930   	2.303699    	19.79     	515.503628
0.00039609     	649       	51920       	1661440     	93.819799   	2.328542    	18.58     	475.905124
0.00038143     	659       	52720       	1687040     	93.659644   	2.351751    	18.98     	857.494743
0.00036697     	669       	53520       	1712640     	93.157148   	2.293330    	19.41     	501.205323
0.00035273     	679       	54320       	1738240     	93.196672   	2.310810    	19.51     	433.028345
0.00033874     	689       	55120       	1763840     	93.459390   	2.327301    	19.47     	500.089540
0.00032500     	699       	55920       	1789440     	93.298759   	2.318022    	19.07     	473.085653
0.00031154     	709       	56720       	1815040     	93.147553   	2.278142    	19.18     	514.846648
0.00029836     	719       	57520       	1840640     	93.013979   	2.339433    	18.45     	501.479314
0.00028550     	729       	58320       	1866240     	92.694644   	2.327738    	18.21     	465.845444
0.00027295     	739       	59120       	1891840     	92.678981   	2.346057    	19.46     	511.059149
0.00026075     	749       	59920       	1917440     	92.646086   	2.333081    	17.83     	454.039220
0.00024889     	759       	60720       	1943040     	92.485509   	2.343280    	19.27     	503.042103
0.00023740     	769       	61520       	1968640     	92.182199   	2.361724    	19.06     	483.925518
0.00022630     	779       	62320       	1994240     	92.169542   	2.327713    	18.96     	478.696425
0.00021558     	789       	63120       	2019840     	92.127451   	2.314936    	19.02     	513.969125
0.00020528     	799       	63920       	2045440     	92.405023   	2.358018    	19.10     	471.703234
0.00019540     	809       	64720       	2071040     	91.984228   	2.354102    	18.70     	505.027069
0.00018594     	819       	65520       	2096640     	92.102366   	2.344094    	19.71     	469.382337
0.00017693     	829       	66320       	2122240     	91.824468   	2.349067    	18.61     	475.940687
0.00016838     	839       	67120       	2147840     	91.684958   	2.327698    	19.63     	506.730347
0.00016029     	849       	67920       	2173440     	91.573437   	2.373438    	18.77     	463.149997
0.00015267     	859       	68720       	2199040     	91.159398   	2.368920    	19.95     	741.468859
0.00014554     	869       	69520       	2224640     	91.741853   	2.357060    	17.96     	693.618546
0.00013890     	879       	70320       	2250240     	91.380329   	2.338888    	19.02     	723.444364
0.00013277     	889       	71120       	2275840     	91.329603   	2.341673    	19.12     	679.947370
0.00012714     	899       	71920       	2301440     	91.523119   	2.368766    	18.37     	1224.069077
