Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	129.875258  	1.756399    	18.80     	907.522802
0.00020000     	19        	1520        	48640       	127.446201  	1.751420    	19.14     	870.769113
0.00030000     	29        	2320        	74240       	124.891445  	1.785080    	18.23     	874.035382
0.00040000     	39        	3120        	99840       	122.509676  	1.803479    	18.30     	884.099268
0.00050000     	49        	3920        	125440      	121.221588  	1.819327    	18.88     	885.567736
0.00060000     	59        	4720        	151040      	119.766076  	1.826774    	18.68     	902.458007
0.00070000     	69        	5520        	176640      	119.253143  	1.837770    	18.73     	863.637306
0.00080000     	79        	6320        	202240      	118.409578  	1.882452    	17.62     	853.273208
0.00090000     	89        	7120        	227840      	116.794489  	1.823732    	19.49     	862.636984
0.00100000     	99        	7920        	253440      	117.606680  	1.880378    	17.86     	899.318453
0.00099973     	109       	8720        	279040      	117.276724  	1.875112    	18.70     	836.505765
0.00099890     	119       	9520        	304640      	115.187476  	1.908683    	18.88     	872.026098
0.00099753     	129       	10320       	330240      	114.119994  	1.898207    	19.28     	853.881682
0.00099562     	139       	11120       	355840      	112.936434  	1.882308    	18.70     	903.003617
0.00099316     	149       	11920       	381440      	112.834750  	1.916148    	18.60     	863.420007
0.00099017     	159       	12720       	407040      	111.992430  	1.985278    	18.83     	843.981689
0.00098663     	169       	13520       	432640      	112.253896  	1.955940    	18.63     	873.543898
0.00098257     	179       	14320       	458240      	111.202039  	1.967814    	19.80     	879.577405
0.00097798     	189       	15120       	483840      	110.583146  	2.013441    	18.24     	891.754372
0.00097286     	199       	15920       	509440      	111.238508  	1.996645    	18.32     	876.855372
0.00096723     	209       	16720       	535040      	110.515063  	1.959144    	18.74     	850.261002
0.00096110     	219       	17520       	560640      	109.937183  	2.032952    	18.09     	866.023138
0.00095446     	229       	18320       	586240      	110.311954  	1.978162    	18.70     	883.724683
0.00094733     	239       	19120       	611840      	110.624690  	1.936823    	20.20     	856.759819
0.00093971     	249       	19920       	637440      	109.128285  	1.974517    	19.28     	866.748444
0.00093162     	259       	20720       	663040      	109.417149  	1.868380    	17.48     	880.347217
0.00092307     	269       	21520       	688640      	109.168765  	2.014660    	18.68     	873.877753
0.00091406     	279       	22320       	714240      	108.454360  	1.971842    	19.62     	876.020348
0.00090460     	289       	23120       	739840      	109.374884  	1.928936    	19.02     	882.699915
0.00089472     	299       	23920       	765440      	108.362596  	1.993918    	18.02     	878.757695
0.00088442     	309       	24720       	791040      	107.693253  	2.002925    	19.73     	880.676538
0.00087370     	319       	25520       	816640      	107.461163  	2.039732    	18.51     	899.547997
0.00086260     	329       	26320       	842240      	107.604429  	1.974966    	18.91     	869.733272
0.00085111     	339       	27120       	867840      	107.618435  	1.956996    	19.83     	857.426260
0.00083925     	349       	27920       	893440      	106.970567  	2.022501    	19.51     	890.031314
0.00082705     	359       	28720       	919040      	106.685645  	2.039659    	18.88     	893.522796
0.00081450     	369       	29520       	944640      	107.279142  	1.981895    	19.80     	871.594887
0.00080164     	379       	30320       	970240      	106.451453  	2.075407    	20.17     	892.004815
0.00078846     	389       	31120       	995840      	104.645972  	2.098121    	18.94     	888.827217
0.00077500     	399       	31920       	1021440     	106.291450  	2.013459    	18.55     	884.532308
0.00076126     	409       	32720       	1047040     	105.152857  	2.098269    	18.67     	885.664129
0.00074727     	419       	33520       	1072640     	105.075573  	2.014227    	18.67     	875.576565
0.00073303     	429       	34320       	1098240     	106.015903  	2.119643    	19.58     	873.092445
0.00071857     	439       	35120       	1123840     	103.986532  	2.135553    	17.64     	905.747479
0.00070391     	449       	35920       	1149440     	103.228588  	2.141479    	18.90     	883.186123
