Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	127.255314  	1.697857    	19.12     	1163.980701
0.00020000     	19        	1520        	48640       	125.364891  	1.768409    	19.08     	1116.189593
0.00030000     	29        	2320        	74240       	123.605835  	1.790091    	18.55     	1618.022664
0.00040000     	39        	3120        	99840       	121.525850  	1.765436    	20.38     	1079.678827
0.00050000     	49        	3920        	125440      	119.941131  	1.807387    	19.76     	1102.837804
0.00060000     	59        	4720        	151040      	118.823035  	1.778815    	19.31     	1112.875000
0.00070000     	69        	5520        	176640      	116.758619  	1.810909    	20.81     	1680.173192
0.00080000     	79        	6320        	202240      	112.352990  	1.773229    	22.66     	1663.938693
0.00090000     	89        	7120        	227840      	107.250899  	1.657115    	28.41     	1121.577673
0.00100000     	99        	7920        	253440      	101.874306  	1.617474    	32.09     	1002.437483
0.00099973     	109       	8720        	279040      	97.294966   	1.598575    	32.04     	2024.498288
0.00099890     	119       	9520        	304640      	93.101810   	1.616460    	34.38     	612.694580
0.00099753     	129       	10320       	330240      	88.251910   	1.489057    	37.90     	741.941065
0.00099562     	139       	11120       	355840      	83.952733   	1.539016    	36.63     	1632.009569
0.00099316     	149       	11920       	381440      	80.992470   	1.442225    	41.00     	764.933767
0.00099017     	159       	12720       	407040      	78.279188   	1.504956    	36.58     	747.869597
0.00098663     	169       	13520       	432640      	76.193029   	1.499934    	38.41     	732.327025
0.00098257     	179       	14320       	458240      	74.644672   	1.520126    	39.19     	720.639983
0.00097798     	189       	15120       	483840      	73.347854   	1.497712    	39.22     	1949.292091
0.00097286     	199       	15920       	509440      	71.626412   	1.518732    	40.52     	744.744478
0.00096723     	209       	16720       	535040      	71.441273   	1.505145    	41.48     	736.337842
0.00096110     	219       	17520       	560640      	69.947081   	1.515859    	39.80     	734.869782
0.00095446     	229       	18320       	586240      	67.963260   	1.498850    	40.82     	844.080658
0.00094733     	239       	19120       	611840      	66.494754   	1.499970    	41.15     	748.881881
0.00093971     	249       	19920       	637440      	63.592057   	1.457379    	42.02     	758.177765
0.00093162     	259       	20720       	663040      	63.978354   	1.507735    	41.72     	758.076524
0.00092307     	269       	21520       	688640      	62.088648   	1.467126    	43.05     	736.240691
0.00091406     	279       	22320       	714240      	61.008504   	1.484485    	41.27     	740.895599
0.00090460     	289       	23120       	739840      	59.876147   	1.436895    	43.57     	742.075162
0.00089472     	299       	23920       	765440      	58.544304   	1.483900    	41.92     	740.020013
0.00088442     	309       	24720       	791040      	57.263512   	1.564772    	41.41     	763.801771
0.00087370     	319       	25520       	816640      	57.119620   	1.492155    	42.46     	784.060555
0.00086260     	329       	26320       	842240      	55.640988   	1.472604    	43.12     	770.202508
0.00085111     	339       	27120       	867840      	54.593323   	1.538355    	42.22     	748.942426
0.00083925     	349       	27920       	893440      	53.103848   	1.487474    	44.15     	741.480471
0.00082705     	359       	28720       	919040      	52.852727   	1.545441    	42.95     	746.022492
0.00081450     	369       	29520       	944640      	52.294488   	1.535870    	42.38     	743.556258
0.00080164     	379       	30320       	970240      	50.535855   	1.544916    	42.98     	758.072428
0.00078846     	389       	31120       	995840      	50.807648   	1.497169    	42.67     	770.304201
0.00077500     	399       	31920       	1021440     	50.297706   	1.549068    	43.36     	745.259619
0.00076126     	409       	32720       	1047040     	49.674805   	1.499171    	44.40     	745.345204
0.00074727     	419       	33520       	1072640     	48.413242   	1.530672    	42.98     	743.514038
0.00073303     	429       	34320       	1098240     	47.913585   	1.472611    	43.75     	733.614178
0.00071857     	439       	35120       	1123840     	47.489715   	1.506713    	43.30     	746.791529
0.00070391     	449       	35920       	1149440     	47.194359   	1.536042    	43.57     	762.337421
0.00068906     	459       	36720       	1175040     	45.592222   	1.470994    	44.54     	769.595296
0.00067404     	469       	37520       	1200640     	44.266388   	1.486528    	43.73     	1781.828632
0.00065886     	479       	38320       	1226240     	44.347352   	1.531594    	43.39     	762.098978
0.00064356     	489       	39120       	1251840     	43.872213   	1.537507    	43.32     	740.898583
0.00062814     	499       	39920       	1277440     	42.885703   	1.552695    	42.48     	743.151310
0.00061263     	509       	40720       	1303040     	41.819293   	1.570197    	42.88     	743.372121
0.00059704     	519       	41520       	1328640     	41.548855   	1.501983    	44.08     	734.022430
0.00058139     	529       	42320       	1354240     	40.590699   	1.492177    	44.89     	742.571271
0.00056570     	539       	43120       	1379840     	39.846970   	1.590880    	42.20     	776.876723
0.00055000     	549       	43920       	1405440     	39.058100   	1.553071    	44.74     	760.472413
0.00053430     	559       	44720       	1431040     	38.998430   	1.504408    	44.45     	578.044695
0.00051861     	569       	45520       	1456640     	38.063811   	1.488102    	45.85     	364.609937
0.00050296     	579       	46320       	1482240     	37.918635   	1.540026    	44.20     	362.761834
0.00048737     	589       	47120       	1507840     	37.539651   	1.531032    	44.13     	360.415751
0.00047186     	599       	47920       	1533440     	36.845613   	1.569274    	44.51     	377.498039
0.00045644     	609       	48720       	1559040     	36.475427   	1.547728    	44.85     	360.628433
0.00044114     	619       	49520       	1584640     	35.629463   	1.522627    	44.65     	356.680180
0.00042596     	629       	50320       	1610240     	35.902666   	1.561013    	43.68     	352.316766
0.00041094     	639       	51120       	1635840     	34.905285   	1.559072    	43.70     	353.913517
0.00039609     	649       	51920       	1661440     	34.671272   	1.528624    	44.30     	360.397517
0.00038143     	659       	52720       	1687040     	34.030812   	1.569392    	44.34     	355.345969
0.00036697     	669       	53520       	1712640     	34.040721   	1.572340    	43.75     	358.481678
0.00035273     	679       	54320       	1738240     	33.270783   	1.531923    	45.11     	356.689288
0.00033874     	689       	55120       	1763840     	33.113170   	1.559316    	45.07     	351.137173
0.00032500     	699       	55920       	1789440     	32.666116   	1.575174    	44.64     	353.262570
0.00031154     	709       	56720       	1815040     	32.691530   	1.586141    	44.55     	353.367957
0.00029836     	719       	57520       	1840640     	32.271231   	1.543742    	44.42     	351.818269
0.00028550     	729       	58320       	1866240     	32.551167   	1.552098    	44.80     	351.344944
0.00027295     	739       	59120       	1891840     	31.648667   	1.544090    	44.98     	344.646994
0.00026075     	749       	59920       	1917440     	31.561170   	1.609404    	43.26     	339.587693
0.00024889     	759       	60720       	1943040     	30.748480   	1.575194    	43.95     	339.901478
0.00023740     	769       	61520       	1968640     	30.541474   	1.576851    	44.88     	342.344987
0.00022630     	779       	62320       	1994240     	30.731569   	1.579469    	44.12     	338.023879
0.00021558     	789       	63120       	2019840     	30.481271   	1.577328    	44.90     	340.516635
0.00020528     	799       	63920       	2045440     	30.068273   	1.576534    	43.87     	340.985393
0.00019540     	809       	64720       	2071040     	29.952763   	1.551997    	44.21     	342.181004
0.00018594     	819       	65520       	2096640     	29.400996   	1.579603    	45.01     	339.695641
0.00017693     	829       	66320       	2122240     	29.029321   	1.547000    	44.99     	339.920737
0.00016838     	839       	67120       	2147840     	28.664086   	1.565943    	46.12     	348.477407
0.00016029     	849       	67920       	2173440     	28.608457   	1.562166    	45.22     	345.814362
0.00015267     	859       	68720       	2199040     	28.738043   	1.563980    	44.81     	347.983767
0.00014554     	869       	69520       	2224640     	29.115510   	1.554904    	44.86     	345.715105
0.00013890     	879       	70320       	2250240     	28.833122   	1.582111    	44.64     	346.149344
0.00013277     	889       	71120       	2275840     	28.095922   	1.573057    	44.58     	341.438047
0.00012714     	899       	71920       	2301440     	27.551757   	1.590253    	45.42     	344.460193
0.00012202     	909       	72720       	2327040     	27.919281   	1.584671    	44.33     	338.854965
0.00011743     	919       	73520       	2352640     	27.320369   	1.589646    	44.38     	340.646447
0.00011337     	929       	74320       	2378240     	27.341140   	1.558668    	45.59     	340.693434
0.00010983     	939       	75120       	2403840     	27.449287   	1.572695    	44.94     	345.346799
0.00010684     	949       	75920       	2429440     	27.363636   	1.569078    	45.48     	340.094570
0.00010438     	959       	76720       	2455040     	27.202585   	1.553937    	45.60     	341.295712
0.00010247     	969       	77520       	2480640     	26.899536   	1.583006    	44.77     	339.217755
0.00010110     	979       	78320       	2506240     	27.369868   	1.585105    	45.48     	339.644714
0.00010027     	989       	79120       	2531840     	26.815755   	1.585879    	44.64     	340.470265
0.00010000     	999       	79920       	2557440     	26.586793   	1.594064    	43.86     	339.063330
