Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	130.423959  	1.783454    	19.02     	959.944683
0.00020000     	19        	1520        	48640       	130.199916  	1.818546    	19.21     	962.290430
0.00030000     	29        	2320        	74240       	127.326155  	1.888845    	18.84     	944.491054
0.00040000     	39        	3120        	99840       	125.558102  	1.825755    	19.65     	1040.917327
0.00050000     	49        	3920        	125440      	123.410778  	1.822738    	19.17     	941.270963
0.00060000     	59        	4720        	151040      	121.147334  	1.846813    	19.49     	942.109106
0.00070000     	69        	5520        	176640      	120.346373  	1.870580    	17.78     	993.153436
0.00080000     	79        	6320        	202240      	118.979779  	1.878445    	18.76     	949.329775
0.00090000     	89        	7120        	227840      	117.108524  	1.843020    	19.59     	1016.716926
0.00100000     	99        	7920        	253440      	116.133455  	1.920085    	19.63     	1780.109030
0.00099973     	109       	8720        	279040      	116.684130  	1.979817    	19.05     	2214.939235
0.00099890     	119       	9520        	304640      	116.975952  	1.915616    	19.11     	998.048462
0.00099753     	129       	10320       	330240      	114.528608  	1.877547    	18.85     	2419.452257
0.00099562     	139       	11120       	355840      	113.372677  	1.940967    	18.96     	1334.393720
0.00099316     	149       	11920       	381440      	111.378485  	1.893416    	18.95     	966.020487
0.00099017     	159       	12720       	407040      	111.998431  	2.025388    	18.97     	1925.166478
0.00098663     	169       	13520       	432640      	111.037838  	1.929952    	18.02     	1961.919870
0.00098257     	179       	14320       	458240      	110.169160  	2.018027    	19.01     	956.192804
0.00097798     	189       	15120       	483840      	109.236966  	2.048700    	18.91     	977.021663
0.00097286     	199       	15920       	509440      	109.990738  	1.963170    	19.05     	936.456215
0.00096723     	209       	16720       	535040      	109.006060  	1.889969    	21.75     	975.925613
0.00096110     	219       	17520       	560640      	109.323644  	1.926252    	19.41     	991.740439
0.00095446     	229       	18320       	586240      	109.536672  	1.961357    	18.29     	1014.276751
0.00094733     	239       	19120       	611840      	109.274208  	1.985768    	19.25     	2633.990679
0.00093971     	249       	19920       	637440      	107.675156  	1.966733    	20.33     	883.334061
0.00093162     	259       	20720       	663040      	107.176184  	2.035444    	18.85     	1000.323379
0.00092307     	269       	21520       	688640      	106.520296  	2.013760    	20.24     	1075.633585
0.00091406     	279       	22320       	714240      	105.751931  	2.014046    	20.77     	892.909060
0.00090460     	289       	23120       	739840      	104.694237  	2.097171    	20.03     	1729.992478
0.00089472     	299       	23920       	765440      	103.679024  	2.119569    	19.48     	1140.910960
0.00088442     	309       	24720       	791040      	103.485847  	2.098571    	19.98     	707.013994
0.00087370     	319       	25520       	816640      	103.948085  	2.064367    	19.24     	1777.795265
0.00086260     	329       	26320       	842240      	102.972058  	2.099255    	19.79     	895.216599
0.00085111     	339       	27120       	867840      	101.851103  	2.085640    	21.03     	714.949671
0.00083925     	349       	27920       	893440      	102.446650  	2.101352    	20.66     	1604.849869
0.00082705     	359       	28720       	919040      	101.449494  	2.155060    	20.28     	708.741829
0.00081450     	369       	29520       	944640      	101.507839  	2.151009    	19.34     	690.549572
0.00080164     	379       	30320       	970240      	100.846425  	2.159098    	19.52     	1520.620793
0.00078846     	389       	31120       	995840      	100.025833  	2.144995    	20.34     	644.752583
0.00077500     	399       	31920       	1021440     	99.745911   	2.127352    	21.27     	790.647955
0.00076126     	409       	32720       	1047040     	98.575039   	2.194537    	20.05     	717.281669
0.00074727     	419       	33520       	1072640     	98.204455   	2.244559    	19.86     	704.966233
0.00073303     	429       	34320       	1098240     	98.489382   	2.199748    	22.15     	684.436428
0.00071857     	439       	35120       	1123840     	98.045228   	2.133300    	19.71     	715.354645
0.00070391     	449       	35920       	1149440     	97.583755   	2.193467    	20.65     	694.158070
0.00068906     	459       	36720       	1175040     	97.063536   	2.267646    	19.61     	909.536260
0.00067404     	469       	37520       	1200640     	96.740780   	2.177758    	21.27     	704.305708
0.00065886     	479       	38320       	1226240     	96.046787   	2.228258    	20.21     	1407.954248
0.00064356     	489       	39120       	1251840     	94.601691   	2.317013    	20.92     	703.334049
0.00062814     	499       	39920       	1277440     	95.015906   	2.306656    	20.62     	695.616167
0.00061263     	509       	40720       	1303040     	94.490393   	2.359055    	20.62     	703.477508
0.00059704     	519       	41520       	1328640     	93.965016   	2.325921    	20.37     	681.676410
0.00058139     	529       	42320       	1354240     	93.811618   	2.292942    	20.50     	1069.124457
0.00056570     	539       	43120       	1379840     	92.809349   	2.266376    	20.12     	728.919768
0.00055000     	549       	43920       	1405440     	92.664332   	2.347162    	20.52     	690.036059
0.00053430     	559       	44720       	1431040     	92.048319   	2.335620    	20.41     	711.667981
0.00051861     	569       	45520       	1456640     	91.700990   	2.297264    	20.16     	665.587151
0.00050296     	579       	46320       	1482240     	91.512187   	2.342923    	20.67     	708.676075
0.00048737     	589       	47120       	1507840     	90.504736   	2.391363    	20.20     	693.036912
0.00047186     	599       	47920       	1533440     	90.830762   	2.368961    	20.49     	705.372943
0.00045644     	609       	48720       	1559040     	89.716988   	2.334179    	20.31     	694.783975
0.00044114     	619       	49520       	1584640     	89.388152   	2.406903    	19.88     	703.731878
0.00042596     	629       	50320       	1610240     	89.377360   	2.408004    	20.41     	691.169169
0.00041094     	639       	51120       	1635840     	88.851995   	2.435616    	19.98     	710.511252
0.00039609     	649       	51920       	1661440     	88.170798   	2.453734    	19.66     	688.441489
0.00038143     	659       	52720       	1687040     	87.894599   	2.365425    	19.66     	710.392107
0.00036697     	669       	53520       	1712640     	87.601111   	2.470631    	19.20     	686.818705
0.00035273     	679       	54320       	1738240     	86.863120   	2.463187    	20.91     	706.743885
0.00033874     	689       	55120       	1763840     	86.625685   	2.524411    	20.11     	698.795807
0.00032500     	699       	55920       	1789440     	86.337659   	2.502195    	20.30     	709.539793
0.00031154     	709       	56720       	1815040     	85.781361   	2.443145    	20.74     	770.091392
0.00029836     	719       	57520       	1840640     	85.195508   	2.560485    	20.03     	702.423202
0.00028550     	729       	58320       	1866240     	85.235271   	2.495671    	19.95     	703.057500
0.00027295     	739       	59120       	1891840     	84.619914   	2.553520    	20.27     	747.805049
0.00026075     	749       	59920       	1917440     	84.439965   	2.536861    	19.02     	697.997825
0.00024889     	759       	60720       	1943040     	84.295217   	2.564236    	20.93     	697.625194
0.00023740     	769       	61520       	1968640     	83.857389   	2.572052    	19.84     	703.821440
0.00022630     	779       	62320       	1994240     	83.142304   	2.561544    	19.66     	1371.971037
0.00021558     	789       	63120       	2019840     	82.786966   	2.543107    	20.93     	1536.326049
0.00020528     	799       	63920       	2045440     	82.445637   	2.580292    	20.08     	711.281411
0.00019540     	809       	64720       	2071040     	81.906268   	2.581008    	21.21     	1111.458503
0.00018594     	819       	65520       	2096640     	81.889098   	2.600188    	20.41     	706.358804
0.00017693     	829       	66320       	2122240     	81.563349   	2.584845    	20.41     	2099.034367
0.00016838     	839       	67120       	2147840     	81.477956   	2.557353    	20.27     	662.392579
0.00016029     	849       	67920       	2173440     	80.875953   	2.604035    	20.88     	1026.371377
0.00015267     	859       	68720       	2199040     	80.496127   	2.572098    	20.62     	997.058432
0.00014554     	869       	69520       	2224640     	80.708755   	2.647432    	20.64     	712.360592
0.00013890     	879       	70320       	2250240     	80.189470   	2.620568    	19.83     	657.519786
0.00013277     	889       	71120       	2275840     	80.160543   	2.630014    	20.76     	709.490454
0.00012714     	899       	71920       	2301440     	79.884736   	2.654376    	20.53     	674.962082
0.00012202     	909       	72720       	2327040     	79.466630   	2.661995    	19.35     	1893.529744
0.00011743     	919       	73520       	2352640     	79.348037   	2.649882    	20.13     	686.492313
0.00011337     	929       	74320       	2378240     	79.253392   	2.649420    	20.33     	707.279249
0.00010983     	939       	75120       	2403840     	79.304189   	2.634355    	20.83     	702.387090
0.00010684     	949       	75920       	2429440     	78.541811   	2.653007    	20.56     	950.378535
0.00010438     	959       	76720       	2455040     	78.839218   	2.694462    	20.33     	707.535719
0.00010247     	969       	77520       	2480640     	78.580549   	2.651078    	20.55     	694.787695
0.00010110     	979       	78320       	2506240     	78.462660   	2.708037    	20.71     	712.103947
0.00010027     	989       	79120       	2531840     	78.312784   	2.686346    	20.41     	695.152168
0.00010000     	999       	79920       	2557440     	77.880163   	2.669870    	20.16     	713.441062
