Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	504.426309  	1.715087    	17.72     	1951.148675
0.00020000     	19        	6080        	48640       	490.854884  	1.699497    	21.09     	1949.275393
0.00030000     	29        	9280        	74240       	484.532782  	1.752557    	17.59     	1954.477857
0.00040000     	39        	12480       	99840       	478.048353  	1.786411    	18.05     	1948.835452
0.00050000     	49        	15680       	125440      	471.466561  	1.751518    	21.02     	1963.415650
0.00060000     	59        	18880       	151040      	462.674827  	1.808968    	19.72     	1945.527558
0.00070000     	69        	22080       	176640      	456.800921  	1.734637    	21.84     	1959.415184
0.00080000     	79        	25280       	202240      	452.452227  	1.729332    	22.74     	1951.274129
0.00090000     	89        	28480       	227840      	456.397700  	1.726459    	22.48     	1999.432954
0.00100000     	99        	31680       	253440      	452.317462  	1.784265    	20.72     	1942.987156
0.00099973     	109       	34880       	279040      	445.524286  	1.833080    	20.43     	1942.885767
0.00099890     	119       	38080       	304640      	445.123344  	1.810476    	21.30     	1953.987039
0.00099753     	129       	41280       	330240      	439.278744  	1.805259    	19.93     	1956.586469
0.00099562     	139       	44480       	355840      	442.300515  	1.761585    	22.34     	1940.307295
0.00099316     	149       	47680       	381440      	439.749247  	1.837701    	20.15     	1947.603091
0.00099017     	159       	50880       	407040      	441.308231  	1.822183    	20.30     	1953.724649
0.00098663     	169       	54080       	432640      	443.418383  	1.852098    	20.99     	1957.097418
0.00098257     	179       	57280       	458240      	445.744023  	1.835441    	20.09     	1956.325247
0.00097798     	189       	60480       	483840      	441.209089  	1.853066    	20.82     	1950.880085
0.00097286     	199       	63680       	509440      	445.991020  	1.831889    	20.41     	1962.715768
0.00096723     	209       	66880       	535040      	438.564595  	1.916509    	21.95     	1939.481018
0.00096110     	219       	70080       	560640      	433.000254  	1.887598    	21.96     	1941.259942
0.00095446     	229       	73280       	586240      	435.156105  	1.891220    	20.73     	1950.483772
0.00094733     	239       	76480       	611840      	443.149212  	1.837602    	21.62     	1952.449960
0.00093971     	249       	79680       	637440      	446.027419  	1.867755    	19.66     	1943.200160
0.00093162     	259       	82880       	663040      	435.245870  	1.927276    	21.16     	1939.432309
0.00092307     	269       	86080       	688640      	431.123689  	1.850389    	23.42     	1954.489019
0.00091406     	279       	89280       	714240      	431.609004  	1.880265    	21.03     	1963.011184
0.00090460     	289       	92480       	739840      	438.932880  	1.895466    	22.91     	1947.102298
0.00089472     	299       	95680       	765440      	433.563522  	1.799879    	20.91     	1968.710542
0.00088442     	309       	98880       	791040      	432.756346  	1.873050    	22.48     	1950.800120
0.00087370     	319       	102080      	816640      	427.433263  	1.941166    	20.68     	1961.081350
0.00086260     	329       	105280      	842240      	424.636564  	1.867440    	22.30     	1953.286703
0.00085111     	339       	108480      	867840      	428.461278  	1.898794    	23.62     	1941.461053
0.00083925     	349       	111680      	893440      	428.498572  	1.907247    	22.12     	1954.229558
0.00082705     	359       	114880      	919040      	426.545948  	1.907761    	21.45     	1956.451678
0.00081450     	369       	118080      	944640      	427.126690  	1.918271    	21.06     	1937.420818
0.00080164     	379       	121280      	970240      	420.898939  	1.942764    	22.66     	1941.064630
0.00078846     	389       	124480      	995840      	418.687791  	1.968793    	21.23     	1954.604701
0.00077500     	399       	127680      	1021440     	419.631646  	1.904662    	22.64     	1954.735079
0.00076126     	409       	130880      	1047040     	420.073503  	1.915501    	21.01     	1939.732547
0.00074727     	419       	134080      	1072640     	419.673417  	2.004132    	21.70     	1950.592906
0.00073303     	429       	137280      	1098240     	418.844934  	1.927740    	22.45     	1953.962258
0.00071857     	439       	140480      	1123840     	425.347686  	2.007917    	21.11     	1960.880350
0.00070391     	449       	143680      	1149440     	420.838085  	2.018678    	20.72     	1944.589423
0.00068906     	459       	146880      	1175040     	426.508167  	1.964739    	22.22     	1942.723333
0.00067404     	469       	150080      	1200640     	422.562997  	1.961264    	22.73     	1955.553826
0.00065886     	479       	153280      	1226240     	420.319572  	1.936132    	21.82     	1950.905777
0.00064356     	489       	156480      	1251840     	421.499158  	1.909554    	21.12     	1942.128183
0.00062814     	499       	159680      	1277440     	419.955299  	1.895984    	21.45     	1943.258079
0.00061263     	509       	162880      	1303040     	421.678546  	1.893620    	21.62     	1959.708638
0.00059704     	519       	166080      	1328640     	422.062555  	2.006609    	21.29     	1954.921967
0.00058139     	529       	169280      	1354240     	417.362749  	1.951612    	20.73     	1936.178826
0.00056570     	539       	172480      	1379840     	414.292543  	1.956697    	22.05     	1947.292523
0.00055000     	549       	175680      	1405440     	414.428662  	1.995114    	21.62     	1958.079810
0.00053430     	559       	178880      	1431040     	412.060591  	1.919298    	21.76     	1947.587080
0.00051861     	569       	182080      	1456640     	411.797115  	1.939815    	21.28     	1935.370247
0.00050296     	579       	185280      	1482240     	410.569549  	1.931847    	20.99     	1773.556301
0.00048737     	589       	188480      	1507840     	413.449897  	1.900323    	21.80     	1605.719576
0.00047186     	599       	191680      	1533440     	412.595387  	1.962325    	21.80     	1594.230841
0.00045644     	609       	194880      	1559040     	410.869806  	1.928273    	23.21     	1592.294124
0.00044114     	619       	198080      	1584640     	408.640286  	1.933622    	21.45     	1591.519695
0.00042596     	629       	201280      	1610240     	405.601688  	1.892023    	23.70     	1593.235404
0.00041094     	639       	204480      	1635840     	406.445235  	1.930898    	22.23     	1592.308705
0.00039609     	649       	207680      	1661440     	405.391357  	2.008265    	21.30     	1600.829655
0.00038143     	659       	210880      	1687040     	403.586094  	2.043183    	21.40     	1603.868910
0.00036697     	669       	214080      	1712640     	402.470606  	1.948378    	21.36     	1604.059689
0.00035273     	679       	217280      	1738240     	401.124922  	2.011940    	20.83     	1605.984047
0.00033874     	689       	220480      	1763840     	400.787770  	2.001723    	21.55     	1619.140326
0.00032500     	699       	223680      	1789440     	400.824636  	1.993415    	22.89     	1614.562165
0.00031154     	709       	226880      	1815040     	398.446827  	1.963839    	22.38     	1607.049591
0.00029836     	719       	230080      	1840640     	398.100919  	1.979828    	23.41     	1613.588044
0.00028550     	729       	233280      	1866240     	396.106733  	2.047279    	21.99     	1606.908715
0.00027295     	739       	236480      	1891840     	395.245719  	1.972462    	23.41     	1607.962522
0.00026075     	749       	239680      	1917440     	392.232079  	1.998837    	22.84     	1606.614488
0.00024889     	759       	242880      	1943040     	392.353851  	1.986920    	22.95     	1608.707821
0.00023740     	769       	246080      	1968640     	392.458637  	2.050907    	22.45     	1619.180042
0.00022630     	779       	249280      	1994240     	391.388383  	2.030447    	22.32     	1698.847923
0.00021558     	789       	252480      	2019840     	391.156713  	1.987780    	23.45     	1701.566382
0.00020528     	799       	255680      	2045440     	391.367561  	2.047563    	21.87     	1603.885456
0.00019540     	809       	258880      	2071040     	392.140029  	1.980866    	22.61     	1589.586380
